Date,Nitrate_Level
1950-04-11,0.836
1950-04-11,3.7
1950-08-15,0.361
1950-08-15,1.6
1950-07-17,0.316
1950-07-17,1.4
1950-05-23,0.271
1950-05-23,1.2
1950-02-27,0.316
1950-02-27,1.4
1950-07-24,0.858
1950-07-24,3.8
1951-09-06,0.203
1951-09-06,0.9
1950-11-15,0.248
1950-11-15,1.1
1950-06-22,0.474
1950-06-22,2.1
1951-02-05,0.904
1951-02-05,4.0
1950-01-30,2.5
1950-01-30,0.565
1950-06-30,0.52
1950-06-30,2.3
1950-10-17,0.294
1950-10-17,1.3
1950-06-07,0.474
1950-06-07,2.1
1951-01-03,0.565
1951-01-03,2.5
1950-09-06,1.13
1950-09-06,5.0
1951-03-06,2.9
1951-03-06,0.655
1950-07-25,0.407
1950-07-25,1.8
1951-04-04,0.904
1951-04-04,4.0
1950-05-17,0.678
1950-05-17,3.0
1950-09-19,1.11
1950-09-19,4.9
1950-06-12,0.52
1950-06-12,2.3
1950-10-05,0.949
1950-10-05,4.2
1950-09-26,1.02
1950-09-26,4.5
1950-12-08,0.565
1950-12-08,2.5
1950-08-07,0.791
1950-08-07,3.5
1949-12-05,0.407
1949-12-05,1.8
1950-11-02,0.271
1950-11-02,1.2
1964-11-28,0.045
1964-11-28,0.2
1964-05-13,0.361
1964-05-13,1.6
1964-10-19,0.068
1964-10-19,0.3
1964-12-01,0.045
1964-12-01,0.2
1964-11-12,0.023
1964-11-12,0.1
1964-12-01,0.023
1964-12-01,0.1
1964-12-08,0.045
1964-12-08,0.2
1964-12-02,0.023
1964-12-02,0.1
1964-10-29,0.045
1964-10-29,0.2
1964-08-14,0.136
1964-08-14,0.6
1964-08-13,0.045
1964-08-13,0.2
1964-11-04,1.58
1964-11-04,7.0
1964-08-16,3.16
1964-08-16,14.0
1964-10-26,0.045
1964-10-26,0.2
1964-12-19,0.045
1964-12-19,0.2
1964-11-04,0.068
1964-11-04,0.3
1964-11-05,0.023
1964-11-05,0.1
1964-11-19,0.023
1964-11-19,0.1
1966-05-23,0.045
1966-05-23,0.2
1966-04-02,0.136
1966-04-02,0.6
1966-05-26,0.068
1966-05-26,0.3
1966-08-13,0.542
1966-08-13,2.4
1965-06-23,1.27
1965-06-23,5.6
1967-05-11,0.181
1967-05-11,0.8
1966-10-04,0.474
1966-10-04,2.1
1965-01-09,0.023
1965-01-09,0.1
1966-04-02,0.248
1966-04-02,1.1
1967-04-20,0.791
1967-04-20,3.5
1967-04-27,0.474
1967-04-27,2.1
1966-08-05,1.22
1966-08-05,5.4
1967-07-22,0.429
1967-07-22,1.9
1967-01-01,0.113
1967-01-01,0.5
1965-05-01,0.113
1965-05-01,0.5
1967-09-01,0.068
1967-09-01,0.3
1965-11-11,0.068
1965-11-11,0.3
1966-02-01,0.339
1966-02-01,1.5
1965-03-12,0.09
1965-03-12,0.4
1967-04-28,0.226
1967-04-28,1.0
1966-08-27,0.023
1966-08-27,0.1
1966-10-13,0.068
1966-10-13,0.3
1967-06-22,0.294
1967-06-22,1.3
1966-08-06,0.497
1966-08-06,2.2
1966-04-13,0.271
1966-04-13,1.2
1967-03-21,0.023
1967-03-21,0.1
1966-09-22,1.45
1966-09-22,6.4
1967-08-01,0.045
1967-08-01,0.2
1966-04-15,0.497
1966-04-15,2.2
