MonitoringLocationIdentifier,ActivityStartDate,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
USGS-06446000,1950-04-11,Nitrate,0.836,mg/l as N
USGS-06446000,1950-04-11,Nitrate,3.7,mg/l asNO3
USGS-06446000,1950-08-15,Nitrate,0.361,mg/l as N
USGS-06446000,1950-08-15,Nitrate,1.6,mg/l asNO3
USGS-06446000,1950-07-17,Nitrate,0.316,mg/l as N
USGS-06446000,1950-07-17,Nitrate,1.4,mg/l asNO3
USGS-06446000,1950-05-23,Nitrate,0.271,mg/l as N
USGS-06446000,1950-05-23,Nitrate,1.2,mg/l asNO3
USGS-06446000,1950-02-27,Nitrate,0.316,mg/l as N
USGS-06446000,1950-02-27,Nitrate,1.4,mg/l asNO3
USGS-06446000,1950-07-24,Nitrate,0.858,mg/l as N
USGS-06446000,1950-07-24,Nitrate,3.8,mg/l asNO3
USGS-06446000,1951-09-06,Nitrate,0.203,mg/l as N
USGS-06446000,1951-09-06,Nitrate,0.9,mg/l asNO3
USGS-06446000,1950-11-15,Nitrate,0.248,mg/l as N
USGS-06446000,1950-11-15,Nitrate,1.1,mg/l asNO3
USGS-06446000,1950-06-22,Nitrate,0.474,mg/l as N
USGS-06446000,1950-06-22,Nitrate,2.1,mg/l asNO3
USGS-06446000,1951-02-05,Nitrate,0.904,mg/l as N
USGS-06446000,1951-02-05,Nitrate,4.0,mg/l asNO3
USGS-06446000,1950-01-30,Nitrate,2.5,mg/l asNO3
USGS-06446000,1950-01-30,Nitrate,0.565,mg/l as N
USGS-06446000,1950-06-30,Nitrate,0.52,mg/l as N
USGS-06446000,1950-06-30,Nitrate,2.3,mg/l asNO3
USGS-06446000,1950-10-17,Nitrate,0.294,mg/l as N
USGS-06446000,1950-10-17,Nitrate,1.3,mg/l asNO3
USGS-06446000,1950-06-07,Nitrate,0.474,mg/l as N
USGS-06446000,1950-06-07,Nitrate,2.1,mg/l asNO3
USGS-06446000,1951-01-03,Nitrate,0.565,mg/l as N
USGS-06446000,1951-01-03,Nitrate,2.5,mg/l asNO3
USGS-06446000,1950-09-06,Nitrate,1.13,mg/l as N
USGS-06446000,1950-09-06,Nitrate,5.0,mg/l asNO3
USGS-06446000,1951-03-06,Nitrate,2.9,mg/l asNO3
USGS-06446000,1951-03-06,Nitrate,0.655,mg/l as N
USGS-06446000,1950-07-25,Nitrate,0.407,mg/l as N
USGS-06446000,1950-07-25,Nitrate,1.8,mg/l asNO3
USGS-06446000,1951-04-04,Nitrate,0.904,mg/l as N
USGS-06446000,1951-04-04,Nitrate,4.0,mg/l asNO3
USGS-06446000,1950-05-17,Nitrate,0.678,mg/l as N
USGS-06446000,1950-05-17,Nitrate,3.0,mg/l asNO3
USGS-06446000,1950-09-19,Nitrate,1.11,mg/l as N
USGS-06446000,1950-09-19,Nitrate,4.9,mg/l asNO3
USGS-06446000,1950-06-12,Nitrate,0.52,mg/l as N
USGS-06446000,1950-06-12,Nitrate,2.3,mg/l asNO3
USGS-06446000,1950-10-05,Nitrate,0.949,mg/l as N
USGS-06446000,1950-10-05,Nitrate,4.2,mg/l asNO3
USGS-06446000,1950-09-26,Nitrate,1.02,mg/l as N
USGS-06446000,1950-09-26,Nitrate,4.5,mg/l asNO3
USGS-06446000,1950-12-08,Nitrate,0.565,mg/l as N
USGS-06446000,1950-12-08,Nitrate,2.5,mg/l asNO3
USGS-06446000,1950-08-07,Nitrate,0.791,mg/l as N
USGS-06446000,1950-08-07,Nitrate,3.5,mg/l asNO3
USGS-06446000,1949-12-05,Nitrate,0.407,mg/l as N
USGS-06446000,1949-12-05,Nitrate,1.8,mg/l asNO3
USGS-06446000,1950-11-02,Nitrate,0.271,mg/l as N
USGS-06446000,1950-11-02,Nitrate,1.2,mg/l asNO3
USGS-06445700,1964-11-28,Nitrate,0.045,mg/l as N
USGS-06445700,1964-11-28,Nitrate,0.2,mg/l asNO3
USGS-06445700,1964-05-13,Nitrate,0.361,mg/l as N
USGS-06445700,1964-05-13,Nitrate,1.6,mg/l asNO3
USGS-06445700,1964-10-19,Nitrate,0.068,mg/l as N
USGS-06445700,1964-10-19,Nitrate,0.3,mg/l asNO3
USGS-06446200,1964-12-01,Nitrate,0.045,mg/l as N
USGS-06446200,1964-12-01,Nitrate,0.2,mg/l asNO3
USGS-06445700,1964-11-12,Nitrate,0.023,mg/l as N
USGS-06445700,1964-11-12,Nitrate,0.1,mg/l asNO3
USGS-06445700,1964-12-01,Nitrate,0.023,mg/l as N
USGS-06445700,1964-12-01,Nitrate,0.1,mg/l asNO3
USGS-06446200,1964-12-08,Nitrate,0.045,mg/l as N
USGS-06446200,1964-12-08,Nitrate,0.2,mg/l asNO3
USGS-06445700,1964-12-02,Nitrate,0.023,mg/l as N
USGS-06445700,1964-12-02,Nitrate,0.1,mg/l asNO3
USGS-06445700,1964-10-29,Nitrate,0.045,mg/l as N
USGS-06445700,1964-10-29,Nitrate,0.2,mg/l asNO3
USGS-06445700,1964-08-14,Nitrate,0.136,mg/l as N
USGS-06445700,1964-08-14,Nitrate,0.6,mg/l asNO3
USGS-06446200,1964-08-13,Nitrate,0.045,mg/l as N
USGS-06446200,1964-08-13,Nitrate,0.2,mg/l asNO3
USGS-06446200,1964-11-04,Nitrate,1.58,mg/l as N
USGS-06446200,1964-11-04,Nitrate,7.0,mg/l asNO3
USGS-06445700,1964-08-16,Nitrate,3.16,mg/l as N
USGS-06445700,1964-08-16,Nitrate,14.0,mg/l asNO3
USGS-06445700,1964-10-26,Nitrate,0.045,mg/l as N
USGS-06445700,1964-10-26,Nitrate,0.2,mg/l asNO3
USGS-06445700,1964-12-19,Nitrate,0.045,mg/l as N
USGS-06445700,1964-12-19,Nitrate,0.2,mg/l asNO3
USGS-06445700,1964-11-04,Nitrate,0.068,mg/l as N
USGS-06445700,1964-11-04,Nitrate,0.3,mg/l asNO3
USGS-06445700,1964-11-05,Nitrate,0.023,mg/l as N
USGS-06445700,1964-11-05,Nitrate,0.1,mg/l asNO3
USGS-06445700,1964-11-19,Nitrate,0.023,mg/l as N
USGS-06445700,1964-11-19,Nitrate,0.1,mg/l asNO3
USGS-06445700,1966-05-23,Nitrate,0.045,mg/l as N
USGS-06445700,1966-05-23,Nitrate,0.2,mg/l asNO3
USGS-06446200,1966-04-02,Nitrate,0.136,mg/l as N
USGS-06446200,1966-04-02,Nitrate,0.6,mg/l asNO3
USGS-06446200,1966-05-26,Nitrate,0.068,mg/l as N
USGS-06446200,1966-05-26,Nitrate,0.3,mg/l asNO3
USGS-06445700,1966-08-13,Nitrate,0.542,mg/l as N
USGS-06445700,1966-08-13,Nitrate,2.4,mg/l asNO3
USGS-06446200,1965-06-23,Nitrate,1.27,mg/l as N
USGS-06446200,1965-06-23,Nitrate,5.6,mg/l asNO3
USGS-06445700,1967-05-11,Nitrate,0.181,mg/l as N
USGS-06445700,1967-05-11,Nitrate,0.8,mg/l asNO3
USGS-06446200,1966-10-04,Nitrate,0.474,mg/l as N
USGS-06446200,1966-10-04,Nitrate,2.1,mg/l asNO3
USGS-06445700,1965-01-09,Nitrate,0.023,mg/l as N
USGS-06445700,1965-01-09,Nitrate,0.1,mg/l asNO3
USGS-06445700,1966-04-02,Nitrate,0.248,mg/l as N
USGS-06445700,1966-04-02,Nitrate,1.1,mg/l asNO3
USGS-06446200,1967-04-20,Nitrate,0.791,mg/l as N
USGS-06446200,1967-04-20,Nitrate,3.5,mg/l asNO3
USGS-06446200,1967-04-27,Nitrate,0.474,mg/l as N
USGS-06446200,1967-04-27,Nitrate,2.1,mg/l asNO3
USGS-06445700,1966-08-05,Nitrate,1.22,mg/l as N
USGS-06445700,1966-08-05,Nitrate,5.4,mg/l asNO3
USGS-06445700,1967-07-22,Nitrate,0.429,mg/l as N
USGS-06445700,1967-07-22,Nitrate,1.9,mg/l asNO3
USGS-06446200,1967-01-01,Nitrate,0.113,mg/l as N
USGS-06446200,1967-01-01,Nitrate,0.5,mg/l asNO3
USGS-06445700,1965-05-01,Nitrate,0.113,mg/l as N
USGS-06445700,1965-05-01,Nitrate,0.5,mg/l asNO3
USGS-06446200,1967-09-01,Nitrate,0.068,mg/l as N
USGS-06446200,1967-09-01,Nitrate,0.3,mg/l asNO3
USGS-06446200,1965-11-11,Nitrate,0.068,mg/l as N
USGS-06446200,1965-11-11,Nitrate,0.3,mg/l asNO3
USGS-06445700,1966-02-01,Nitrate,0.339,mg/l as N
USGS-06445700,1966-02-01,Nitrate,1.5,mg/l asNO3
USGS-06445700,1965-03-12,Nitrate,0.09,mg/l as N
USGS-06445700,1965-03-12,Nitrate,0.4,mg/l asNO3
USGS-06446200,1967-04-28,Nitrate,0.226,mg/l as N
USGS-06446200,1967-04-28,Nitrate,1.0,mg/l asNO3
USGS-06445700,1966-08-27,Nitrate,0.023,mg/l as N
USGS-06445700,1966-08-27,Nitrate,0.1,mg/l asNO3
USGS-06446200,1966-10-13,Nitrate,0.068,mg/l as N
USGS-06446200,1966-10-13,Nitrate,0.3,mg/l asNO3
USGS-06445700,1967-06-22,Nitrate,0.294,mg/l as N
USGS-06445700,1967-06-22,Nitrate,1.3,mg/l asNO3
USGS-06445700,1966-08-06,Nitrate,0.497,mg/l as N
USGS-06445700,1966-08-06,Nitrate,2.2,mg/l asNO3
USGS-06446200,1966-04-13,Nitrate,0.271,mg/l as N
USGS-06446200,1966-04-13,Nitrate,1.2,mg/l asNO3
USGS-06445700,1967-03-21,Nitrate,0.023,mg/l as N
USGS-06445700,1967-03-21,Nitrate,0.1,mg/l asNO3
USGS-06446200,1966-09-22,Nitrate,1.45,mg/l as N
USGS-06446200,1966-09-22,Nitrate,6.4,mg/l asNO3
USGS-06445700,1967-08-01,Nitrate,0.045,mg/l as N
USGS-06445700,1967-08-01,Nitrate,0.2,mg/l asNO3
USGS-06445700,1966-04-15,Nitrate,0.497,mg/l as N
USGS-06445700,1966-04-15,Nitrate,2.2,mg/l asNO3
USGS-06445700,1965-02-28,Nitrate,0.136,mg/l as N
USGS-06445700,1965-02-28,Nitrate,0.6,mg/l asNO3
USGS-06445700,1966-10-15,Nitrate,0.294,mg/l as N
USGS-06445700,1966-10-15,Nitrate,1.3,mg/l asNO3
USGS-06446200,1967-06-23,Nitrate,0.452,mg/l as N
USGS-06446200,1967-06-23,Nitrate,2.0,mg/l asNO3
USGS-06445700,1966-05-24,Nitrate,0.158,mg/l as N
USGS-06445700,1966-05-24,Nitrate,0.7,mg/l asNO3
USGS-06445700,1967-06-20,Nitrate,0.203,mg/l as N
USGS-06445700,1967-06-20,Nitrate,0.9,mg/l asNO3
USGS-06445700,1966-04-01,Nitrate,0.316,mg/l as N
USGS-06445700,1966-04-01,Nitrate,1.4,mg/l asNO3
USGS-06446200,1967-07-21,Nitrate,0.136,mg/l as N
USGS-06446200,1967-07-21,Nitrate,0.6,mg/l asNO3
USGS-06445700,1965-12-01,Nitrate,0.158,mg/l as N
